StateCode,TotalNumberofInvestments,TotalAmountofAssistance,Year
VA,13,22305810,2009
WA,18,6732314,2009
WV,2,225000,2009
WI,57,8814998,2009
WY,3,21789,2009
AL,524,28361109,2010
AK,31,333654,2010
AZ,66,106306886,2010
AR,212,11161445,2010
CA,428,23018684,2010
CO,187,1507268,2010
CT,10,208323,2010
DE,35,963525,2010
FL,136,8827827,2010
GA,732,24470159,2010
HI,21,116011905,2010
ID,132,2316468,2010
IL,198,8390296,2010
IN,174,7107849,2010
IA,752,39782988,2010
KS,62,4342230,2010
KY,88,4665383,2010
LA,142,21049512,2010
ME,386,35299113,2010
MD,29,1120668,2010
MA,52,3768538,2010
MI,321,13022743,2010
MN,361,11968714,2010
MS,310,8863176,2010
MO,194,10777620,2010
MT,95,9464486,2010
NE,371,6573025,2010
NV,20,898796,2010
NH,109,6391431,2010
NJ,41,2016136,2010
NM,10,1073838,2010
NY,226,16505889,2010
NC,214,8452521,2010
ND,46,155327296,2010
OH,115,7909647,2010
OK,78,3995045,2010
OR,240,6780676,2010
PA,118,8010841,2010
RI,1,189,2010
SC,231,14539154,2010
SD,77,3446993,2010
TN,126,6778217,2010
TX,149,11832502,2010
UT,202,139357,2010
VT,159,10678823,2010
VA,124,4476446,2010
WA,149,6504810,2010
WV,86,5019105,2010
WI,489,7530295,2010
WY,8,50296,2010
AL,59,4308464,2011
AK,39,1203885,2011
AZ,80,4456560,2011
AR,82,4149820,2011
CA,658,35047470,2011
CO,197,2215177,2011
CT,22,1063405,2011
DE,45,975975,2011
FL,113,97713464,2011
GA,663,12992778,2011
HI,27,7472870,2011
ID,188,7460788,2011
IL,67,10457259,2011
IN,91,17476329,2011
IA,315,19754771,2011
KS,55,23729226,2011
KY,70,7353736,2011
LA,50,2305148,2011
ME,47,876632,2011
MD,18,1051425,2011
MA,34,4995782,2011
MI,374,40529446,2011
MN,177,11064459,2011
MS,169,2897409,2011
MO,198,13319680,2011
MT,99,8190189,2011
NE,312,6058412,2011
NV,4,158779,2011
NH,18,776182,2011
NJ,90,7213427,2011
NM,23,795295,2011
NY,114,5083701,2011
NC,240,28257568,2011
ND,23,204644304,2011
OH,85,10073000,2011
OK,36,5634073,2011
OR,116,8321551,2011
PA,84,24525110,2011
RI,2,84693,2011
SC,68,17456067,2011
SD,67,1939781,2011
TN,49,2233435,2011
TX,116,21912073,2011
UT,247,8074006,2011
VT,27,1297462,2011
VA,39,91571859,2011
WA,196,27943092,2011
WV,52,2337841,2011
WI,71,7488143,2011
WY,12,564568,2011
AL,11,1256535,2012
AK,27,1794897,2012
AZ,90,7457132,2012
