Maryland,2,36468,2008
Massachusetts,15,928706,2008
Michigan,11,295904,2008
Minnesota,66,4810022,2008
Mississippi,18,792245,2008
Missouri,15,1622151,2008
Montana,4,379619,2008
Nebraska,170,2051473,2008
Nevada,5,306855,2008
New Hampshire,6,1020173,2008
New Jersey,7,904787,2008
New Mexico,1,3000000,2008
New York,18,1753809,2008
North Carolina,34,912319,2008
North Dakota,4,126940,2008
Ohio,17,2298123,2008
Oklahoma,5,1666960,2008
Oregon,24,1363977,2008
Pennsylvania,6,269762,2008
South Carolina,5,68902,2008
South Dakota,22,1393931,2008
Tennessee,10,381827,2008
Texas,3,378276,2008
United States Virgin Islands,1,29532,2008
Vermont,30,5190769,2008
Virginia,3,565500,2008
Washington,8,3132340,2008
Wisconsin,31,5685506,2008
Wyoming,2,53733,2008
Alabama,4,119752,2009
Alaska,7,3642135,2009
Arizona,7,1529959,2009
Arkansas,9,1265142,2009
California,97,17065986,2009
Colorado,18,5181049,2009
Connecticut,3,636960,2009
Delaware,3,105816,2009
Florida,22,53016188,2009
Georgia,51,82594226,2009
Guam,1,20000,2009
Hawaii,6,443608,2009
Idaho,28,1510455,2009
Illinois,131,8491554,2009
Indiana,58,4205629,2009
Iowa,534,37838074,2009
Kansas,53,5647708,2009
Kentucky,19,2352050,2009
Louisiana,10,1188213,2009
Maine,16,12071839,2009
Marshall Islands,1,700000,2009
Maryland,4,135026,2009
Massachusetts,22,7895740,2009
Michigan,32,1623212,2009
Minnesota,218,17028262,2009
Mississippi,18,763936,2009
Missouri,32,2453630,2009
Montana,7,1088871,2009
Nebraska,232,8457055,2009
Nevada,3,108307,2009
New Hampshire,40,2493345,2009
New Jersey,8,3167878,2009
New Mexico,5,55105967,2009
New York,53,7022301,2009
North Carolina,73,5515332,2009
North Dakota,7,383635,2009
Ohio,54,25210093,2009
Oklahoma,8,6778241,2009
Oregon,54,4276986,2009
Pennsylvania,8,2030958,2009
South Carolina,27,1221920,2009
South Dakota,37,1896252,2009
Tennessee,16,1682593,2009
Texas,11,1999483,2009
Utah,2,12229,2009
Vermont,48,2344755,2009
Virginia,13,22305810,2009
Washington,18,6732314,2009
West Virginia,2,225000,2009
Wisconsin,57,8814998,2009
Wyoming,3,21789,2009
Alabama,524,28361109,2010
Alaska,31,333654,2010
American Samoa,1,1135000,2010
Arizona,66,106306886,2010
Arkansas,212,11161445,2010
California,428,23018684,2010
Colorado,187,1507268,2010
Commonwealth of the Northern Mariana Islands,1,564,2010
Connecticut,10,208323,2010
Delaware,35,963525,2010
Florida,136,8827827,2010
Georgia,732,24470159,2010
Hawaii,21,116011905,2010
Idaho,132,2316468,2010
Illinois,198,8390296,2010
Indiana,174,7107849,2010
Iowa,752,39782988,2010
Kansas,62,4342230,2010
Kentucky,88,4665383,2010
Louisiana,142,21049512,2010
Maine,386,35299113,2010
Maryland,29,1120668,2010
Massachusetts,52,3768538,2010
Michigan,321,13022743,2010
Minnesota,361,11968714,2010
Mississippi,310,8863176,2010
Missouri,194,10777620,2010
Montana,95,9464486,2010
Nebraska,371,6573025,2010
Nevada,20,898796,2010
New Hampshire,109,6391431,2010
New Jersey,41,2016136,2010
New Mexico,10,1073838,2010
New York,226,16505889,2010
North Carolina,214,8452521,2010
North Dakota,46,155327296,2010
Ohio,115,7909647,2010
Oklahoma,78,3995045,2010
Oregon,240,6780676,2010
Pennsylvania,118,8010841,2010
Puerto Rico,4,77403,2010
Rhode Island,1,189,2010
South Carolina,231,14539154,2010
South Dakota,77,3446993,2010
Tennessee,126,6778217,2010
Texas,149,11832502,2010
United States Virgin Islands,1,0,2010
Utah,202,139357,2010
Vermont,159,10678823,2010
Virginia,124,4476446,2010
Washington,149,6504810,2010
West Virginia,86,5019105,2010
Wisconsin,489,7530295,2010
Wyoming,8,50296,2010
Alabama,59,4308464,2011
Alaska,39,1203885,2011
Arizona,80,4456560,2011
Arkansas,82,4149820,2011
California,658,35047470,2011
Colorado,197,2215177,2011
Connecticut,22,1063405,2011
Delaware,45,975975,2011
Florida,113,97713464,2011
Georgia,663,12992778,2011
Guam,1,18284,2011
Hawaii,27,7472870,2011
Idaho,188,7460788,2011
Illinois,67,10457259,2011
Indiana,91,17476329,2011
Iowa,315,19754771,2011
Kansas,55,23729226,2011
Kentucky,70,7353736,2011
Louisiana,50,2305148,2011
Maine,47,876632,2011
Maryland,18,1051425,2011
Massachusetts,34,4995782,2011
Michigan,374,40529446,2011
Minnesota,177,11064459,2011
Mississippi,169,2897409,2011
Missouri,198,13319680,2011
Montana,99,8190189,2011
Nebraska,312,6058412,2011
Nevada,4,158779,2011
New Hampshire,18,776182,2011
New Jersey,90,7213427,2011
New Mexico,23,795295,2011
New York,114,5083701,2011
North Carolina,240,28257568,2011
North Dakota,23,204644304,2011
Ohio,85,10073000,2011
Oklahoma,36,5634073,2011
Oregon,116,8321551,2011
Pennsylvania,84,24525110,2011
Puerto Rico,5,338709,2011
Rhode Island,2,84693,2011
South Carolina,68,17456067,2011
South Dakota,67,1939781,2011
Tennessee,49,2233435,2011
Texas,116,21912073,2011
Utah,247,8074006,2011
Vermont,27,1297462,2011
Virginia,39,91571859,2011
Washington,196,27943092,2011
West Virginia,52,2337841,2011
Wisconsin,71,7488143,2011
Wyoming,12,564568,2011
Alabama,11,1256535,2012
Alaska,27,1794897,2012
Arizona,90,7457132,2012
Arkansas,398,9101573,2012
California,761,26634635,2012
Colorado,212,1820771,2012
Connecticut,25,913629,2012
Delaware,33,1058982,2012
Florida,81,3033222,2012
Georgia,585,17319768,2012
Hawaii,32,81729973,2012
Idaho,137,1584616,2012
Illinois,31,13367814,2012
Indiana,52,2989267,2012
Iowa,129,16341998,2012
Kansas,126,20520075,2012
Kentucky,20,9332414,2012
Louisiana,48,1189954,2012
Maine,30,3209845,2012
Marshall Islands,1,2317388,2012
Maryland,18,15396505,2012
Massachusetts,20,563032,2012
Michigan,92,3473638,2012
Minnesota,104,6045256,2012
Mississippi,73,1559523,2012
Missouri,875,10820631,2012
Montana,74,719246,2012
Nebraska,184,3523483,2012
Nevada,11,61474,2012
New Hampshire,29,590099,2012
New Jersey,48,8090017,2012
New Mexico,21,3051537,2012
New York,73,3625270,2012
North Carolina,74,20422484,2012
North Dakota,14,133169,2012
Ohio,227,19138975,2012
Oklahoma,33,3902776,2012
Oregon,136,1869871,2012
Pennsylvania,59,14599175,2012
Puerto Rico,18,284564,2012
Rhode Island,4,60321,2012
South Carolina,26,10584483,2012
South Dakota,37,1677290,2012
Tennessee,57,1795425,2012
Texas,83,157634656,2012
United States Virgin Islands,6,90691,2012
Utah,242,50056798,2012
Vermont,26,1393164,2012
Virginia,23,2368223,2012
Washington,136,18158533,2012
West Virginia,56,653551,2012
Wisconsin,56,11055733,2012
Wyoming,19,182296,2012
Alabama,38,1486918,2013
Alaska,12,4255167,2013
Arizona,53,467795,2013
Arkansas,600,5957222,2013
California,914,25150615,2013
Colorado,226,675106,2013
Commonwealth of the Northern Mariana Islands,1,2632,2013
Connecticut,28,1082480,2013
Delaware,30,1189663,2013
Florida,23,2237644,2013
Georgia,562,2862074,2013
Guam,3,532532,2013
Hawaii,12,166131,2013
Idaho,87,1428364,2013
Illinois,54,4309949,2013
Indiana,78,5510006,2013
Iowa,178,8664270,2013
Kansas,123,5277210,2013
Kentucky,54,5123426,2013
Louisiana,29,325255,2013
Maine,31,377793,2013
Maryland,36,1291123,2013
Massachusetts,23,808255,2013
Michigan,98,1786059,2013
Minnesota,117,4760861,2013
Mississippi,144,3456652,2013
Missouri,718,12501363,2013
Montana,60,507626,2013
Nebraska,429,6166308,2013
Nevada,8,2546578,2013
New Hampshire,25,1250485,2013
New Jersey,29,379491,2013
New Mexico,22,356539,2013
New York,85,4016974,2013
North Carolina,93,15385128,2013
North Dakota,17,225006,2013
Ohio,181,13860351,2013
Oklahoma,33,6404323,2013
Oregon,118,3814770,2013
Pennsylvania,69,11039258,2013
Puerto Rico,41,529554,2013
Rhode Island,5,149933,2013
South Carolina,12,217428,2013
South Dakota,32,698193,2013
Tennessee,93,4540996,2013
Texas,152,81613306,2013
United States Virgin Islands,6,159814,2013
Utah,175,1376359,2013
Vermont,37,463034,2013
Virginia,31,886153,2013
Washington,53,1466329,2013
West Virginia,44,303202,2013
Wisconsin,70,2546591,2013
Wyoming,17,50102,2013
Alabama,55,2654775,2014
Alaska,8,114415,2014
Arizona,38,1032775,2014
Arkansas,521,7799984,2014
California,894,29151216,2014
Colorado,131,912090,2014
Connecticut,21,550895,2014
Delaware,35,1312584,2014
Florida,34,780653,2014
Georgia,272,71736786,2014
Guam,3,77106,2014
Hawaii,12,824132,2014
Idaho,69,522844,2014
Illinois,17,5042408,2014
Indiana,30,2191170,2014
Iowa,76,10309997,2014
Kansas,93,3300384,2014
Kentucky,25,1641293,2014
Louisiana,37,1128463,2014
Maine,24,214319,2014
Maryland,58,1448908,2014
Massachusetts,18,321026,2014
Michigan,32,4516112,2014
Minnesota,44,3564636,2014
Mississippi,475,2893191,2014
Missouri,601,20629923,2014
Montana,58,893778,2014
Nebraska,280,4870186,2014
Nevada,9,92712,2014
New Hampshire,30,1197779,2014
New Jersey,30,330058,2014
New Mexico,10,15481478,2014
New York,52,2223055,2014
North Carolina,75,74971142,2014
North Dakota,12,151123,2014
Ohio,122,1002796,2014
Oklahoma,38,1619632,2014
Oregon,92,3268473,2014
Pennsylvania,59,3419540,2014
Puerto Rico,9,135411,2014
Rhode Island,5,385008,2014
South Carolina,16,675033,2014
South Dakota,16,2512433,2014
Tennessee,42,955605,2014
Texas,95,6864499,2014
United States Virgin Islands,3,125000,2014
Utah,122,292918,2014
Vermont,23,633509,2014
Virginia,44,1264174,2014
Washington,48,1947421,2014
West Virginia,102,701031,2014
Wisconsin,61,2223469,2014
Wyoming,14,94737,2014
